Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.3895246,0.023825746,0.09860818,0.00045927384,0.36550377155172414,0.0009117332470591846,10028.284954202587,95388.94881816595,8081.124669120491,16438.242696188165,2598.9122099907536,55406.20371240307,0.009932621,3.7146383e-05,23.181261,135.73566,0.00077002094,0.0002230406,5.8882987e-09,4.11145,0.61367255,1.1868228,0.04133013,0.0009845708,8.441581e-08
Defect-free,0,0.5073172,0.0069234157,0.14736927,0.00018306704,0.36457772090517243,0.0009436762337641164,9739.690530711207,11142.25942087797,8057.479723238097,4157.388352297931,2380.2578669817194,5344.777694044535,0.004682633,9.4121765e-07,30.069334,136.19298,0.00058089325,0.00026571815,3.5191274e-09,4.73649,0.53226525,0.91028184,0.00782157,0.0011927952,9.992191e-08
Defect-free,0,0.53258854,0.022234084,0.15252723,0.00018705768,0.3621531519396552,0.000846837089499263,9870.12728987069,92321.28050891454,8048.954134261786,30569.69014416603,2508.6755973656022,44905.43809241987,0.007015479,5.6190136e-05,30.119755,103.05724,0.00081051164,0.00025635233,3.1653666e-09,4.7232122,0.4726581,0.96933746,0.008561334,0.0010924556,9.739421e-08
Defect-free,0,0.5091367,0.01193335,0.14548677,0.00023801852,0.36505477729885055,0.0012218328176834322,9804.537648168103,38996.92780906323,8040.984197040361,27381.848874606985,2474.8568603697463,16192.711390679417,0.005980008,5.5347487e-06,23.16953,45.157433,0.00069768645,0.00023284627,2.5176923e-09,4.227397,0.23375715,1.0229197,0.008668895,0.001050924,6.707882e-08
Defect-free,0,0.47291934,0.012857304,0.13751088,0.00021225066,0.36659258261494254,0.000976553869178138,10092.142039331897,132095.1108161391,8103.287217503697,16466.237572627495,2669.418675396765,35997.310770227785,0.010017339,2.076011e-05,21.167164,35.737206,0.0004786212,0.00020968495,1.4243345e-09,4.0262837,0.22678441,1.1963961,0.022464855,0.0009471186,5.785018e-08
Defect-free,0,0.5108667,0.014118044,0.14335725,0.00012687358,0.3641455639367816,0.0008520131886659014,9986.703596443966,103367.60637734653,8158.989010476755,29465.763494845945,2526.387863612842,49003.424521240224,0.007958958,6.814438e-05,28.85548,94.61848,0.00051205256,0.0002514483,2.6625449e-09,4.6233644,0.4198156,1.0166,0.016036015,0.0011003407,1.1564124e-07
Defect-free,0,0.45105225,0.0033538444,0.14047721,0.00021866719,0.36658135775862066,0.0009305995936626204,9855.276804956897,21611.636249120398,8200.910406498188,3243.753718441193,2363.6983021212845,6825.876453881476,0.005296302,1.0607138e-06,28.84544,76.28064,0.00046657052,0.0002620613,3.0114706e-09,4.6861286,0.3524986,0.9113753,0.0065517332,0.0011814984,1.048659e-07
Defect-free,0,0.30771086,0.0088764755,0.090029426,0.0005636723,0.3681528376436782,0.0010941273974906126,10286.930899784482,76082.65831977944,8264.323809965781,8598.366845341608,2605.0123307529443,34918.68191197317,0.010321929,2.1599033e-05,24.720324,85.62928,0.0004858026,0.00023135115,6.836286e-09,4.2418046,0.44356897,1.2087188,0.024203008,0.0009773476,6.947564e-08
Defect-free,0,0.3313637,0.025562024,0.089338414,0.0003663932,0.37305248742816094,0.000944650004665734,10514.390827047413,207162.19670140362,8405.314288378346,50403.5121624211,2798.7335438475834,70483.58897945336,0.017091693,0.000114648814,21.619652,66.36276,0.00073176716,0.00020636918,3.593756e-09,3.9779263,0.41933843,1.3000357,0.03789986,0.0008710414,6.475071e-08
Defect-free,0,0.44961268,0.003989209,0.13160685,0.00015149717,0.36851764547413796,0.0009634066705329523,9936.954471982759,31997.45409553882,8227.294257510992,4401.975783567677,2480.475624773626,11429.341611339303,0.007195259,4.3464424e-06,26.598936,55.991997,0.0004903484,0.00024613642,2.2769826e-09,4.521469,0.28801015,0.95443773,0.012017643,0.0010961016,8.215543e-08
