Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,16438.242696188165,1.1868228,0.00077002094,2598.9122099907536,0.009932621,0.3895246,0.09860818,8081.124669120491,0.0009845708
Defect-free,0,4157.388352297931,0.91028184,0.00058089325,2380.2578669817194,0.004682633,0.5073172,0.14736927,8057.479723238097,0.0011927952
Defect-free,0,30569.69014416603,0.96933746,0.00081051164,2508.6755973656022,0.007015479,0.53258854,0.15252723,8048.954134261786,0.0010924556
Defect-free,0,27381.848874606985,1.0229197,0.00069768645,2474.8568603697463,0.005980008,0.5091367,0.14548677,8040.984197040361,0.001050924
Defect-free,0,16466.237572627495,1.1963961,0.0004786212,2669.418675396765,0.010017339,0.47291934,0.13751088,8103.287217503697,0.0009471186
Defect-free,0,29465.763494845945,1.0166,0.00051205256,2526.387863612842,0.007958958,0.5108667,0.14335725,8158.989010476755,0.0011003407
Defect-free,0,3243.753718441193,0.9113753,0.00046657052,2363.6983021212845,0.005296302,0.45105225,0.14047721,8200.910406498188,0.0011814984
Defect-free,0,8598.366845341608,1.2087188,0.0004858026,2605.0123307529443,0.010321929,0.30771086,0.090029426,8264.323809965781,0.0009773476
Defect-free,0,50403.5121624211,1.3000357,0.00073176716,2798.7335438475834,0.017091693,0.3313637,0.089338414,8405.314288378346,0.0008710414
Defect-free,0,4401.975783567677,0.95443773,0.0004903484,2480.475624773626,0.007195259,0.44961268,0.13160685,8227.294257510992,0.0010961016
Defect-free,0,5287.156603715879,1.0567122,0.00046195454,2607.4804657137697,0.008889321,0.4520099,0.13080221,8173.704038733753,0.0010263155
Defect-free,0,15519.275351390792,1.1714897,0.0005130602,2618.9302503720396,0.009137643,0.4722574,0.13088842,8172.182047125759,0.0009572718
Defect-free,0,24171.730424645903,1.1892363,0.00046047702,2667.1092770559944,0.009407208,0.44548404,0.12692262,8145.03393110743,0.000995757
Defect-free,0,8324.292341915123,1.0334009,0.0003889027,2538.4757619093543,0.0072256643,0.44094288,0.13153213,8120.966446069058,0.0010638158
Defect-free,0,4201.9519957068,0.94626784,0.00033758482,2436.419172660313,0.006287288,0.43958536,0.13404673,8212.885066493378,0.0011256306
Defect-free,0,13238.832243492787,1.2545823,0.00049802643,2624.899038288847,0.010246045,0.28784284,0.08585179,8256.177598700315,0.00096404465
Defect-free,0,14162.120364639324,1.2388616,0.0006431045,2780.172983004658,0.014392761,0.27524295,0.08345525,8327.198491782397,0.00093006477
Defect-free,0,3032.12866834117,0.95346254,0.00043412208,2473.744702241671,0.0066564432,0.42813602,0.121290445,8173.615439219381,0.0011793282
Defect-free,0,3942.0669105434918,1.0516094,0.0004662041,2552.1395316237595,0.00760566,0.41073924,0.12453023,8142.55102693908,0.0010868572
Defect-free,0,17890.48347250654,1.0985736,0.0003847416,2548.4979634619926,0.007574625,0.4558765,0.13451578,8182.03168673365,0.0010260799
Defect-free,0,9366.828258852998,1.1476256,0.00048393593,2606.303620342652,0.007820441,0.41555926,0.12079485,8068.404496188616,0.0010286921
Defect-free,0,7610.866723981348,1.0361787,0.0003534716,2521.7366543351523,0.0065636286,0.42239136,0.12358173,8123.550766348463,0.0010993317
