Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,45619.048614837455,1.2640476,0.0008177754,2667.7595680177224,0.0149913905,0.16798593,0.039144076,8155.333758315878,0.0008907313
Defect-free,0,12800.678891284062,0.9692147,0.0006787778,2424.328785799824,0.006898693,0.20085478,0.05473807,8121.67600968931,0.001025754
Defect-free,0,137564.55450844267,1.0963928,0.00065474876,2611.2406175349083,0.012920729,0.22625697,0.055186886,8162.656283095289,0.0009069406
Defect-free,0,32262.120892005652,0.93259835,0.0006771191,2446.96896254425,0.007889465,0.20435692,0.057486672,8132.412230955596,0.0010235026
Defect-free,0,25418.8242822325,1.1254479,0.0005245909,2674.2855357888334,0.01431847,0.20390898,0.055676073,8222.537196013689,0.00089874363
Defect-free,0,107659.82327217008,1.0919548,0.00047502966,2572.296468069846,0.012953749,0.20722067,0.05283129,8310.410683307464,0.00096212886
Defect-free,0,7318.46920560917,0.9678136,0.0004209794,2402.42221942761,0.007808266,0.17196375,0.05245919,8273.531245033973,0.0010563477
Defect-free,0,14673.854252214038,1.2987082,0.0005641158,2682.1455535767486,0.01678256,0.12364811,0.03377978,8377.584141469388,0.00083192455
Defect-free,0,146718.65658921312,1.4028335,0.00079936173,2896.5644456478076,0.025340313,0.1662959,0.036663417,8554.80785022376,0.00078146986
Defect-free,0,6994.19473273384,1.012343,0.0006075963,2534.3327023137,0.010583114,0.17265934,0.050583906,8345.0549374324,0.0009744177
Defect-free,0,7359.809880876976,1.1372098,0.00057325844,2656.011125246124,0.01339976,0.17401369,0.04915398,8323.261976006735,0.00090135005
Defect-free,0,23269.0022059202,1.062907,0.00043811576,2603.656464597568,0.012280359,0.20029458,0.05245872,8333.850504154527,0.0009245949
Defect-free,0,36442.606581398104,1.1348363,0.0005213768,2686.869135705235,0.013618589,0.17663364,0.049094655,8269.50090267018,0.0009013113
Defect-free,0,10587.912743676212,1.0634482,0.00044858528,2576.18938170479,0.011284895,0.16576482,0.047597248,8246.687377471317,0.00093206926
Defect-free,0,8423.995782363902,0.99586576,0.00038859548,2481.991410335342,0.00955939,0.16877168,0.050024692,8311.148817475703,0.001012256
Defect-free,0,34397.57615982544,1.3348837,0.0005377678,2709.056652397641,0.016209153,0.11324582,0.031563506,8406.791618219882,0.000843985
Defect-free,0,40605.68380782432,1.3815546,0.0006681278,2878.9941276999375,0.022354888,0.10926661,0.031580117,8498.26437481558,0.00075846724
