Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,24902.094117300356,1.2257514,0.02197596,2841.4693878615894,0.0136931,0.3745531,0.0989151,7881.897951603713,0.0009429382
Defect-free,0,6617.097966311905,0.93976253,0.01740973,2601.394516898064,0.006467332,0.49252355,0.14768031,7896.296286701895,0.0011527952
Defect-free,0,51827.95719834293,0.99095,0.015207703,2709.5669613119567,0.009852646,0.5243327,0.15285428,7917.175344590626,0.001054067
Defect-free,0,28616.222988723268,1.0489203,0.01649878,2680.637041404973,0.008300204,0.5089455,0.14574467,7895.082915174181,0.0010177383
Defect-free,0,17447.661577753104,1.2239451,0.014324019,2828.9187267155403,0.013665587,0.4626356,0.13780625,7970.391743151042,0.0009220701
Defect-free,0,35057.56929165681,1.0325066,0.0119416565,2678.260073066393,0.0108509455,0.50582325,0.1435311,8052.11861518984,0.001074135
Defect-free,0,4144.498321352999,0.9249254,0.012561348,2532.1520586081424,0.00726174,0.4595309,0.14059313,8085.7039226976185,0.0011542566
Defect-free,0,17819.568869117928,1.2437882,0.01795877,2812.920712521132,0.014228262,0.31124458,0.09028581,8102.988294796543,0.0009479276
Defect-free,0,63644.72002534071,1.3435619,0.018677639,3003.1499008189394,0.023264535,0.33471924,0.08972682,8235.53962928986,0.0008423159
Defect-free,0,5012.7437433353125,0.97842866,0.01536172,2676.1617242150423,0.00983319,0.45208776,0.1318098,8084.664444215033,0.0010636975
Defect-free,0,7076.852261096824,1.0766717,0.014374998,2782.6029426529594,0.012354064,0.4367511,0.13097294,8041.237747321507,0.0009972345
Defect-free,0,17021.874778642272,1.1930282,0.013215077,2774.928682061919,0.012448471,0.46258193,0.1310736,8050.302811758988,0.0009336947
Defect-free,0,27521.714452772892,1.2215867,0.014380514,2834.2379087174413,0.0128710335,0.45339614,0.12722842,8013.119892807873,0.0009710102
Defect-free,0,11217.935863812267,1.0512083,0.012153724,2683.7956991960687,0.009788475,0.43976602,0.13168317,8006.354377366281,0.0010397184
Defect-free,0,4861.903027643648,0.95874363,0.011366621,2587.9235974515655,0.008643336,0.43462083,0.13414535,8105.820565966776,0.0010995824
Defect-free,0,31894.61713679945,1.2931898,0.017801108,2826.0622058986846,0.014040139,0.28832904,0.08613475,8095.2806451248725,0.00093533646
