Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.13092673,0.0013139499,0.04399443,0.0001578021,0.16637482040229884,0.0031316607013248295,9249.624528556034,70327.38029602448,5161.910412242756,293170.95414704765,4284.256747095142,16636.152577574692,0.009513478,2.7115106e-05,156.21571,13754.484,0.38905585,0.0005603524,1.0670266e-07,9.938289,20.348085,1.0966146,0.12909973,0.0014177475,8.0390004e-07
Defect-free,0,0.14880231,0.0015231817,0.0526959,0.0004827554,0.22377312320402298,0.005214065837015926,9164.976764547413,44270.577742568654,5488.843406688846,257474.80518687842,4079.4658775707258,10447.49094928359,0.008977365,1.5760625e-05,92.23078,14265.621,0.31032512,0.00043825124,1.9333878e-07,7.101564,22.541544,1.3775594,0.14931805,0.0012114429,1.0738091e-06
Defect-free,0,0.17567146,0.01176348,0.04545054,1.8649014e-05,0.24470748024425287,0.0006909692345718865,9351.84536637931,115228.08097630704,5654.813611983187,131253.1011507621,4074.024711708344,6277.658421920318,0.013367316,0.00016047069,46.135048,913.55963,0.25163007,0.00027881956,9.323335e-09,5.3173,2.5249374,1.6031303,0.010674566,0.00090477016,6.844859e-08
Defect-free,0,0.15644293,0.0008913592,0.05174139,8.100926e-05,0.19679979346264367,0.002170463584187261,9246.406923491379,89798.70590953848,5559.414381377142,87597.32445037123,4157.567331032097,31282.407670009223,0.009111963,1.476112e-05,121.300026,7737.9727,0.29499844,0.00046568247,4.1670283e-08,8.616184,13.17426,1.4032354,0.04776826,0.0010365141,1.9172467e-07
Defect-free,0,0.16183436,0.002996803,0.057375085,0.00042858408,0.17746497844827586,0.0041041196550209765,9472.876818426725,30775.679657490447,5700.17608377728,165309.26348655391,4247.449996459793,33807.32036033413,0.012078826,4.1059306e-05,200.3582,16690.014,0.28027382,0.0006330006,1.5239458e-07,11.401139,23.881239,1.2957846,0.15182787,0.001424305,2.5013835e-06
Defect-free,0,0.1492285,0.004944115,0.04326159,3.5069654e-05,0.23913433908045978,0.0019132746685006404,9548.366783405172,53399.090205588334,6063.386869474045,91870.69663627035,4099.1632171547835,15117.285379325931,0.014521722,7.528695e-05,92.28212,3503.0457,0.22264765,0.00038869362,2.2057565e-08,7.5014095,7.0683026,1.5903864,0.02895254,0.00104631,2.9035792e-07
Defect-free,0,0.12936997,0.0002870501,0.04217773,2.3112761e-05,0.2411548132183908,0.001298917711670954,9472.134294181034,19361.792285433847,6046.770044023512,99028.44712688675,4083.6809937402054,11491.933345770127,0.010845546,1.0215646e-05,97.644936,3898.1401,0.24844475,0.000413745,2.2348859e-08,7.77336,7.512204,1.4932942,0.0112617295,0.0011568492,1.8902892e-07
Defect-free,0,0.10067223,0.0007619774,0.037681095,0.00022825203,0.1896832345545977,0.0057178685806562705,9554.801993534482,56213.753679844776,5674.409986295849,443435.83389603003,4348.287014497066,28756.981144640096,0.013212385,3.7477606e-05,150.5005,16042.632,0.35123572,0.00056320097,1.915256e-07,9.726724,24.38574,1.2850797,0.20646384,0.0014172787,1.6401539e-06
Defect-free,0,0.13047913,0.00823977,0.041512888,0.00013565076,0.15856232040229884,0.004492109998999601,9767.906452047413,210470.12771352436,5675.4164619493795,501872.14517406316,4528.258480701924,38232.652901018744,0.016830893,0.00026747954,208.31099,14994.106,0.36069673,0.00063839025,1.06696056e-07,11.961325,20.955774,1.1368273,0.19808675,0.0010791881,3.7239266e-07
Defect-free,0,0.13621959,0.0005130254,0.045303352,4.5066186e-05,0.20129534841954022,0.001816262970797246,9458.521349676725,18155.087869034087,5822.444513651891,75748.87970628338,4238.956915201502,12037.354874008615,0.011314679,1.7761498e-05,137.56064,4877.05,0.28495097,0.0004958258,2.8343198e-08,9.413987,8.819534,1.349867,0.032842975,0.0009631809,1.4167878e-07
