Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,293170.95414704765,1.0966146,0.38905585,4284.256747095142,0.009513478,0.13092673,0.04399443,5161.910412242756,0.0014177475
Defect-free,0,257474.80518687842,1.3775594,0.31032512,4079.4658775707258,0.008977365,0.14880231,0.0526959,5488.843406688846,0.0012114429
Defect-free,0,131253.1011507621,1.6031303,0.25163007,4074.024711708344,0.013367316,0.17567146,0.04545054,5654.813611983187,0.00090477016
Defect-free,0,87597.32445037123,1.4032354,0.29499844,4157.567331032097,0.009111963,0.15644293,0.05174139,5559.414381377142,0.0010365141
Defect-free,0,165309.26348655391,1.2957846,0.28027382,4247.449996459793,0.012078826,0.16183436,0.057375085,5700.17608377728,0.001424305
Defect-free,0,91870.69663627035,1.5903864,0.22264765,4099.1632171547835,0.014521722,0.1492285,0.04326159,6063.386869474045,0.00104631
Defect-free,0,99028.44712688675,1.4932942,0.24844475,4083.6809937402054,0.010845546,0.12936997,0.04217773,6046.770044023512,0.0011568492
Defect-free,0,443435.83389603003,1.2850797,0.35123572,4348.287014497066,0.013212385,0.10067223,0.037681095,5674.409986295849,0.0014172787
Defect-free,0,501872.14517406316,1.1368273,0.36069673,4528.258480701924,0.016830893,0.13047913,0.041512888,5675.4164619493795,0.0010791881
Defect-free,0,75748.87970628338,1.349867,0.28495097,4238.956915201502,0.011314679,0.13621959,0.045303352,5822.444513651891,0.0009631809
Defect-free,0,62642.13614836522,1.5230197,0.2544498,4251.300440575463,0.015849547,0.13206254,0.042176712,5881.714265871326,0.000903713
Defect-free,0,77379.39874241863,1.4943495,0.25570443,4248.648148848626,0.014560761,0.1339911,0.04592364,5936.331366396437,0.0009831949
Defect-free,0,176349.25538030715,1.1262237,0.2979516,4298.191906040075,0.009300881,0.14765808,0.05728139,5697.616409436377,0.0018880941
Defect-free,0,122352.18408314293,1.5386666,0.22950879,4124.596375318395,0.013599939,0.12095063,0.041696332,6034.184193084869,0.00096936873
Defect-free,0,74176.1103119942,1.5402573,0.2318385,4129.114116335472,0.013739201,0.12163325,0.039467692,6146.429431457643,0.0011629162
Defect-free,0,658783.8742629677,1.2395585,0.36179355,4346.401512148332,0.012665339,0.096856125,0.03770698,5639.381623878697,0.0017486429
Defect-free,0,367589.83248888084,1.1442074,0.36268884,4502.874611354999,0.015099892,0.10411686,0.037758313,5579.626034956344,0.001437938
Defect-free,0,85774.60712319148,1.3115697,0.2903063,4220.495282635726,0.010289947,0.12169007,0.043153428,5750.659615857541,0.0010237929
Defect-free,0,65897.69966157238,1.5831472,0.23411462,4162.693173230885,0.015022095,0.11887193,0.03806185,5892.066435862922,0.00092314975
Defect-free,0,109254.8682766314,1.2437755,0.28843993,4249.890194733709,0.00895264,0.14993848,0.054254755,5765.425476476223,0.0011583259
Defect-free,0,169425.2879843154,1.1139357,0.3068922,4242.999271891714,0.00811493,0.14107996,0.05406431,5569.768667813137,0.0020207488
Defect-free,0,66827.39953593252,1.6181309,0.21366376,4118.488057588423,0.014125486,0.11356643,0.036852833,6026.227425291229,0.0009900231
Defect-free,0,85507.16029173919,1.4405863,0.24792391,4131.547154385155,0.011312417,0.1181795,0.037677992,5968.743079085507,0.0012740748
Defect-free,0,513508.7764623851,1.0663371,0.4216249,4391.448647814047,0.009545483,0.09994297,0.03932853,5361.113384330115,0.0018776492
Defect-free,0,255545.28803498027,0.9218945,0.42597142,4450.02649326366,0.0084007215,0.104516394,0.040480107,5235.6519339070555,0.0017998851
Defect-free,0,168860.4210298097,0.98230994,0.38083985,4231.942835934498,0.005280196,0.14285278,0.05423482,5308.040921643896,0.0012267343
Defect-free,0,104085.23338040656,1.6051066,0.22645472,4126.553208746111,0.015746284,0.13926329,0.037466303,5944.945809253607,0.0009915123
Defect-free,0,60644.49330933201,1.4697815,0.25715595,4148.34562926214,0.010259118,0.1387522,0.04552598,5846.030229112757,0.0010274164
Defect-free,0,192695.05655916888,1.2116647,0.30376673,4226.988181929323,0.00873801,0.13746801,0.051135235,5583.288757388609,0.0017836286
Defect-free,0,85704.4205098498,1.4565088,0.25889248,4187.841949792133,0.011642305,0.12046726,0.039002176,5814.042805001613,0.0010624437
Defect-free,0,125230.12299733295,1.3676715,0.28512543,4186.687161611454,0.010106839,0.1196952,0.0395527,5769.010748996106,0.0015518
Defect-free,0,445034.21918779763,1.0937815,0.4108572,4376.020172346878,0.010051162,0.0887588,0.03637033,5300.194624398235,0.0020645787
Defect-free,0,329487.7539044613,0.8583939,0.4822921,4438.966036597046,0.0073536984,0.09909128,0.042326786,4995.043369134492,0.002045719
Defect-free,0,168831.25863486234,1.04362,0.3692882,4203.760367120109,0.0060790745,0.13092847,0.048497733,5283.111663250547,0.0012205938
Defect-free,0,126008.793958902,1.2810526,0.30528012,4148.113107761302,0.008128184,0.12512277,0.040106785,5414.545066171789,0.0010500129
Defect-free,0,86671.14447335967,1.3735586,0.28947452,4120.1331176101085,0.007733349,0.1325217,0.04371258,5531.697983830526,0.0011916813
Defect-free,0,138884.86290608882,1.0761987,0.33036837,4227.785974172993,0.006358921,0.13342565,0.0504854,5404.923958168687,0.0021750326
Defect-free,0,76764.93602665134,1.2775408,0.30592784,4195.137429916637,0.009149994,0.10795295,0.03794433,5384.70881587806,0.001270891
Defect-free,0,153470.8820899249,1.3018351,0.32003033,4218.556528075118,0.009415856,0.109206975,0.03659855,5423.966668132783,0.0014527043
Defect-free,0,365598.9442106906,1.0046403,0.4379319,4428.145861775266,0.009763631,0.09881276,0.03744788,5110.812964224665,0.002229222
Defect-free,0,218098.17082637973,0.75770086,0.49570584,4446.097728373373,0.0061703604,0.10423332,0.042387266,4865.304751914993,0.0023424958
Defect-free,0,211217.45399291956,0.9521201,0.4107242,4208.462169314883,0.005424984,0.12237093,0.046382498,5027.113254404572,0.0012530675
Defect-free,0,93948.84908566633,1.3235632,0.3153804,4152.899881735699,0.008343694,0.11000043,0.037984233,5270.197766414155,0.0011085552
Defect-free,0,115165.14036144331,1.0353655,0.36332658,4160.036920870269,0.004756187,0.14778435,0.053357832,5206.867447775914,0.001654277
Defect-free,0,155165.52792293363,0.89745784,0.39015934,4217.535566951532,0.005267549,0.13262554,0.052239046,4998.544890252303,0.0023116635
