Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,BER mean,BER var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,S-variance mean,S-variance var,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.3895246,0.023825746,0.09860818,0.00045927384,0.36550377155172414,0.0009117332470591846,10028.284954202587,95388.94881816595,0.0063977926,5.070417e-06,8081.124669307926,16438.24311467074,2598.912210368157,55406.20356536806,0.009932621,3.7146383e-05,23.181261,135.73564,2.0438304,0.055621266,0.0002230406,5.888299e-09,4.11145,0.61367244,1.1868228,0.04133014,0.0009845708,8.441582e-08
Defect-free,0,0.5073172,0.0069234157,0.14736927,0.00018306704,0.36457772090517243,0.0009436762337641164,9739.690530711207,11142.25942087797,0.005903429,2.189839e-06,8057.479722792061,4157.387980798483,2380.2578668779192,5344.777762972446,0.004682633,9.4121765e-07,30.069334,136.193,2.2922707,0.022268405,0.00026571815,3.5191274e-09,4.7364893,0.5322653,0.91028184,0.007821568,0.0011927952,9.992191e-08
Defect-free,0,0.53258854,0.022234084,0.15252723,0.00018705768,0.3621531519396552,0.000846837089499263,9870.12728987069,92321.28050891454,0.006094566,2.6070209e-06,8048.954135101911,30569.690213859456,2508.6755971830107,44905.43781893703,0.0070154783,5.6190132e-05,30.119753,103.05723,2.2217243,0.02999178,0.0002563523,3.1653669e-09,4.7232122,0.47265795,0.96933746,0.008561334,0.0010924557,9.739421e-08
Defect-free,0,0.51505685,0.009022873,0.14609767,0.00021255788,0.36741460755813954,0.0007483886989017896,9799.86089662064,37547.51601981239,0.004803975,3.4145537e-06,8043.947333039667,26681.569205123367,2470.7890844262906,14451.294192655629,0.005955484,5.7220122e-06,23.114134,45.206615,2.1741922,0.012807571,0.0002357927,2.440021e-09,4.2216625,0.23238397,1.0216576,0.008642392,0.0010521505,6.7771985e-08
Defect-free,0,0.47291934,0.012857304,0.13751088,0.00021225066,0.36659258261494254,0.000976553869178138,10092.142039331897,132095.1108161391,0.0045360294,4.8132297e-06,8103.287216117227,16466.237176086233,2669.4186751342427,35997.31067824604,0.010017339,2.076011e-05,21.167164,35.7372,2.0247564,0.034159407,0.00020968495,1.4243347e-09,4.0262837,0.22678444,1.196396,0.022464855,0.0009471186,5.785017e-08
Defect-free,0,0.5108667,0.014118044,0.14335725,0.00012687358,0.3641455639367816,0.0008520131886659014,9986.703596443966,103367.60637734653,0.0040669204,3.5789362e-06,8158.989012802963,29465.763595619617,2526.387864047412,49003.4249088105,0.007958958,6.81444e-05,28.85548,94.61849,2.1914158,0.024059564,0.0002514483,2.6625453e-09,4.6233644,0.4198155,1.0166,0.016036013,0.0011003407,1.1564126e-07
Defect-free,0,0.45105225,0.0033538444,0.14047721,0.00021866719,0.36658135775862066,0.0009305995936626204,9855.276804956897,21611.636249120398,0.0037438876,9.727935e-07,8200.91040832872,3243.7538153072437,2363.698302096259,6825.876373670769,0.0052963016,1.0607137e-06,28.84544,76.280624,2.2984934,0.014902754,0.00026206128,3.0114702e-09,4.686129,0.35249862,0.9113753,0.006551732,0.0011814984,1.04865926e-07
Defect-free,0,0.31128886,0.007865887,0.09057386,0.0005457681,0.3704408157703488,0.0006482967690818047,10281.85410610465,75630.80804550434,0.0037672506,9.892361e-07,8262.911645918712,8879.32752633248,2596.942648086092,31661.702811542258,0.010171865,2.0977111e-05,24.63786,84.63212,2.0532286,0.03410395,0.00023409455,6.7952e-09,4.2346973,0.43867692,1.2074302,0.024360374,0.0009768632,7.030342e-08
Defect-free,0,0.3313637,0.025562024,0.089338414,0.0003663932,0.37305248742816094,0.000944650004665734,10514.390827047413,207162.19670140362,0.0052780714,4.774112e-06,8405.314287791794,50403.51200459663,2798.7335443985608,70483.5892416747,0.017091695,0.00011464879,21.61965,66.36277,1.9226488,0.057582997,0.00020636914,3.5937548e-09,3.977926,0.41933843,1.3000357,0.03789985,0.0008710414,6.47507e-08
Defect-free,0,0.44961268,0.003989209,0.13160685,0.00015149717,0.36851764547413796,0.0009634066705329523,9936.954471982759,31997.45409553882,0.004608083,9.638657e-07,8227.294257013999,4401.975755035343,2480.4756245198614,11429.341606086564,0.0071952594,4.346441e-06,26.598936,55.992012,2.214935,0.01801054,0.00024613645,2.2769828e-09,4.521469,0.28801024,0.95443773,0.01201764,0.0010961016,8.215543e-08
Defect-free,0,0.4520099,0.006881454,0.13080221,7.876217e-05,0.3657507183908046,0.0009191631247084119,10112.68521012931,36722.45722463382,0.004746382,9.1636156e-07,8173.704040746404,5287.1566115588,2607.480465499,10747.467590262728,0.008889321,4.014925e-06,27.728563,109.984344,2.1164432,0.019684415,0.00024368086,2.5998363e-09,4.502661,0.48723015,1.0567122,0.011706275,0.0010263155,9.17212e-08
Defect-free,0,0.47774878,0.015580001,0.13117762,9.3655166e-05,0.36761332667151164,0.0007056346966035305,10062.766283611918,65392.320414309,0.0037731878,2.2441834e-06,8169.63992350341,15222.947330145198,2617.9065539536296,16250.609637536318,0.009131964,7.476719e-06,20.541445,60.03589,2.0554612,0.013145267,0.00020994827,1.9147681e-09,3.9878135,0.2845913,1.1718591,0.011257719,0.0009471384,3.8434337e-08
Defect-free,0,0.44548404,0.004365865,0.12692262,9.7836295e-05,0.3672380118534483,0.0009433594763019091,10094.617120150862,80852.13639081304,0.0040995106,2.6694e-06,8145.033933708169,24171.730018410697,2667.109276946631,14886.02650920213,0.009407208,7.566242e-06,25.608438,124.09092,2.0634947,0.017023873,0.00023161843,2.5355955e-09,4.313785,0.5077691,1.1892362,0.01116184,0.0009957571,7.874209e-08
Defect-free,0,0.44094288,0.0029753405,0.13153213,9.740844e-05,0.36076688218390807,0.0009102411858549458,9905.025929418103,24052.61219469177,0.0036040298,8.4351296e-07,8120.966442925389,8324.292882209422,2538.475762289094,10782.849529824363,0.0072256634,3.781182e-06,29.020718,113.41614,2.1829293,0.013037283,0.0002534615,2.6887406e-09,4.6113133,0.4122991,1.0334009,0.012182469,0.0010638159,7.077345e-08
Defect-free,0,0.43958536,0.003317,0.13404673,0.00012665604,0.36791711566091956,0.0008702161589612544,9867.157192887931,30887.41835459234,0.003412503,5.7152863e-07,8212.885066984789,4201.951945689729,2436.4191722415076,5566.1084360606765,0.006287288,1.3979162e-06,30.053019,121.56873,2.273162,0.01845579,0.0002637238,3.011545e-09,4.7292304,0.48014665,0.94626784,0.008066239,0.0011256305,9.563589e-08
Defect-free,0,0.29118985,0.0058656563,0.0863458,0.00043740042,0.3712981468023256,0.0006968779071335409,10154.407589934593,83651.33598374315,0.0040118652,3.4587576e-06,8256.316835391493,13530.901096074536,2619.1317457005093,22546.744671970384,0.010147622,1.7363576e-05,24.09335,122.554634,2.0641794,0.034475613,0.00023088689,6.9908093e-09,4.201208,0.5793647,1.2517673,0.02728391,0.0009640088,6.5784015e-08
Defect-free,0,0.27524295,0.003115553,0.08345525,0.0002869669,0.36838294719827586,0.0009152738999810145,10375.538793103447,112411.45717403124,0.005055327,3.1886154e-06,8327.198493774094,14162.120271021658,2780.172983577519,46395.44007084845,0.014392761,4.3081793e-05,27.459265,179.18901,2.0013595,0.04936972,0.00023345178,5.043258e-09,4.393225,0.77783537,1.2388616,0.040052246,0.00093006477,7.379845e-08
