Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,BER mean,BER var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,S-variance mean,S-variance var,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.16798593,0.0096266875,0.039144076,0.00010000326,0.36822018678160917,0.0009251267076215873,10165.156923491379,296272.58243515436,0.007294886,1.1539341e-05,8155.333757051476,45619.04942746289,2667.759567710425,119127.36081050923,0.0149913905,0.00012711324,16.445168,55.949005,1.8866432,0.0841073,0.00018205075,4.758493e-09,3.5529683,0.49457803,1.2640476,0.100055076,0.0008907313,1.09370845e-07
Defect-free,0,0.20085478,0.002570459,0.05473807,1.6131535e-05,0.36789466594827586,0.0009594772526351318,9840.921336206897,62777.789532075185,0.0064764093,7.181925e-06,8121.676010969774,12800.678794558607,2424.3287862790753,13070.606583316401,0.0068986937,2.2333732e-06,18.96754,46.681557,2.0942218,0.020039137,0.00019938062,1.2766734e-09,3.920977,0.26672852,0.9692147,0.018135468,0.001025754,6.3860014e-08
Defect-free,0,0.22625697,0.018654598,0.055186886,7.502514e-05,0.36788344109195403,0.0009334423469889194,10126.793170797413,989265.8126595184,0.0064847325,7.354801e-06,8162.656281029613,137564.55358130462,2611.2406180965427,149754.1186907567,0.012920729,0.0003044595,17.770456,30.446106,1.9641109,0.046728957,0.00018912053,2.4635818e-09,3.7529392,0.24432988,1.0963928,0.03450299,0.0009069406,6.580816e-08
Defect-free,0,0.20673317,0.00393734,0.05777754,7.475442e-05,0.3678745003633721,0.0007464130418632017,9821.644485828489,65426.362816742025,0.0052038454,5.0857398e-06,8131.657875107745,32635.64334097627,2443.2673872336713,28781.63422331166,0.007842353,1.06340485e-05,19.084745,45.799076,2.1049302,0.028274484,0.0002063543,2.5855962e-09,3.9357204,0.2864547,0.9321881,0.019629773,0.0010207407,6.9216604e-08
Defect-free,0,0.20390898,0.006799704,0.055676073,0.00011905648,0.3687758171695402,0.0009439853053849571,10229.509024784482,228986.52854062145,0.0051926314,1.4824703e-05,8222.537196806228,25418.823882489352,2674.285536287646,111437.3264661231,0.01431847,8.287628e-05,17.062754,30.477573,1.9265826,0.07902167,0.0001782322,1.8547924e-09,3.6823716,0.30601856,1.1254479,0.08624443,0.00089874363,6.757475e-08
Defect-free,0,0.20722067,0.012189068,0.05283129,3.5054745e-05,0.36871969288793105,0.0009072466686610138,10251.042227909482,794120.4267166174,0.004230121,3.0554456e-06,8310.410683374108,107659.8227839301,2572.2964684757085,109420.77062304768,0.012953749,0.00027994774,17.897402,32.78742,1.9814051,0.03410464,0.00019104578,1.2408027e-09,3.7720983,0.22685131,1.0919548,0.03631522,0.00096212886,7.191019e-08
Defect-free,0,0.17196375,0.0007592026,0.05245919,5.778445e-05,0.36871969288793105,0.0009424668477255344,9983.238483297413,34293.488288180866,0.0038088744,1.6680561e-06,8273.531247295336,7318.469282931089,2402.422217834927,8228.714656615033,0.0078082667,2.495694e-06,19.15275,51.01782,2.106573,0.020536488,0.00020285415,2.6908253e-09,3.9457448,0.3143688,0.9678136,0.017074706,0.0010563477,6.701885e-08
Defect-free,0,0.12508588,0.0026813669,0.03401829,9.081574e-05,0.37433003270348836,0.0006602256603663905,10456.122819767443,217934.06876181831,0.0043610935,3.4229624e-06,8381.227561126872,13725.331344746293,2682.6689344586875,77498.68202837351,0.016862124,0.000121108875,14.955139,41.47676,1.8317376,0.049772117,0.00017458861,4.5437396e-09,3.4176917,0.31841564,1.2996677,0.06646472,0.0008323947,5.3926502e-08
Defect-free,0,0.1662959,0.024360089,0.036663417,0.00011733094,0.37714394755747127,0.001048528497640232,10823.775929418103,705962.5153592594,0.0057069804,1.30846165e-05,8554.807851102552,146718.65713775126,2896.5644460341346,131316.16202763026,0.025340313,0.00031672113,13.869835,33.46263,1.7506285,0.08536017,0.00015550682,3.4886345e-09,3.2965364,0.45039472,1.4028335,0.09407122,0.00078146986,8.464814e-08
Defect-free,0,0.17265934,0.00070523116,0.050583906,3.8476777e-05,0.36978605423850575,0.0009206108348280457,10155.504108297413,64160.80094971356,0.0048156097,2.9637524e-06,8345.05493536521,6994.194212063543,2534.3327019427156,19702.001572606845,0.010583113,8.580078e-06,17.992075,32.384716,2.026812,0.02205838,0.00019307785,1.8230403e-09,3.8229146,0.2168105,1.0123429,0.015048287,0.0009744177,6.311767e-08
Defect-free,0,0.17401369,0.0025037618,0.04915398,2.0730635e-05,0.3715932561063218,0.0009723311293344074,10308.711610991379,44699.27697629623,0.0049948855,2.6151338e-06,8323.261976632233,7359.810750959946,2656.0111265528294,14309.722513344605,0.01339976,1.1191006e-05,16.425735,21.257538,1.9212532,0.021543393,0.00017880852,1.2983375e-09,3.6545,0.20008372,1.1372098,0.018157523,0.00090135005,4.4452122e-08
Defect-free,0,0.20262359,0.0096857045,0.052637987,5.7871985e-05,0.3719170148982558,0.0006476294807384567,10204.985578670057,144767.1657955408,0.0037153037,2.681443e-06,8332.431259527719,23361.862643559987,2609.338186175068,42605.58251307283,0.012392812,3.1033596e-05,17.522709,22.902296,1.9853251,0.030595267,0.00019061806,1.8704147e-09,3.7777472,0.18621118,1.0635275,0.025232144,0.000916166,4.2195e-08
Defect-free,0,0.17663364,0.00102193,0.049094655,4.3762255e-05,0.3692416487068966,0.0009976756322303557,10233.221646012931,130668.97218207543,0.0045004375,7.862471e-06,8269.500900836381,36442.607869573854,2686.8691354336224,39762.85379681027,0.013618589,2.4721543e-05,17.669746,46.569824,1.9181125,0.034235924,0.0001850741,2.0913835e-09,3.734072,0.29928246,1.1348363,0.025358964,0.0009013113,5.677329e-08
Defect-free,0,0.16576482,0.00041199411,0.047597248,1.7279155e-05,0.3667609554597701,0.0009259564004969384,10110.705145474138,55841.903958677816,0.0038226915,1.4570463e-06,8246.687380953977,10587.913537180078,2576.1893821134536,15033.880572367698,0.011284896,8.546855e-06,17.952091,41.04938,1.9728446,0.015373556,0.0001895147,1.4318822e-09,3.7775517,0.2516852,1.0634482,0.014308606,0.00093206926,4.6564054e-08
Defect-free,0,0.16877168,0.00093497284,0.050024692,4.5792087e-05,0.36788344109195403,0.0009085097925904595,10056.005859375,51324.45055862953,0.0035819402,1.4138013e-06,8311.148818615977,8423.99590771554,2481.99141088762,10725.439683154122,0.009559389,4.355014e-06,18.02012,26.022573,2.0576954,0.016314473,0.00019607574,1.8044648e-09,3.8482087,0.18646628,0.99586576,0.01645273,0.001012256,6.3499456e-08
Defect-free,0,0.11456263,0.0022611148,0.031772528,6.2369305e-05,0.3769190588662791,0.0006911798449320815,10390.521666061046,194030.1583211702,0.004653278,2.0429676e-05,8404.455445913272,34762.15851560111,2704.6998649188577,45189.17085207579,0.016141301,6.050564e-05,14.5453005,31.419945,1.8388642,0.034650493,0.0001712009,3.2104162e-09,3.408325,0.24949451,1.3342423,0.03804205,0.000842972,4.8531845e-08
Defect-free,0,0.10926661,0.0004666383,0.031580117,4.439155e-05,0.37716078484195403,0.000985214804418652,10684.428879310344,238826.8851156609,0.005452801,7.468303e-06,8498.264373768372,40605.68341716412,2878.9941274251632,69821.01360978305,0.022354888,0.00011019108,15.063095,32.432804,1.7706946,0.055942584,0.00016477871,2.4904139e-09,3.428522,0.34450328,1.3815546,0.06928993,0.0007584671,3.7908123e-08
Defect-free,0,0.16156462,0.0009202877,0.045641262,3.021018e-05,0.3684222341954023,0.0009185519113236996,10105.259967672413,53284.77857796106,0.0043610185,1.6659413e-06,8313.517432536037,9317.860841406284,2531.832147871818,16155.364738900991,0.010086029,6.199908e-06,18.505249,25.453297,2.0342503,0.01971817,0.00019691758,1.3908804e-09,3.8726351,0.18203895,1.0383394,0.021454932,0.0009781363,5.956108e-08
Defect-free,0,0.15602234,0.0005205704,0.046064746,1.3972269e-05,0.37180091594827586,0.0009742263192181731,10226.786435883621,53944.42895646611,0.0049012816,1.5949429e-06,8293.273751854384,10739.965896144011,2608.1082398637645,14191.909615313873,0.011669782,8.130363e-06,16.252419,21.527346,1.9352119,0.017223047,0.00017929504,1.4293999e-09,3.6398816,0.18610452,1.1385604,0.014011484,0.0009253593,5.2122896e-08
Defect-free,0,0.17994903,0.000542962,0.05372925,5.6681823e-05,0.3723655523255814,0.0007229643038248874,10157.662609011628,137956.86720641257,0.0035786119,1.7202158e-06,8337.711020208364,29933.062615789913,2530.811287711191,35330.90735006351,0.010303155,1.39215545e-05,19.088615,37.31382,2.0323594,0.03236464,0.00020487788,2.7487537e-09,3.8910224,0.24607813,1.0545058,0.01738338,0.0009478828,5.5415203e-08
Defect-free,0,0.1568081,0.00061317894,0.045719564,2.7442531e-05,0.36973554238505746,0.0009268641487612467,10014.672009698275,81961.55952925347,0.004477175,5.6588306e-06,8215.839581412756,23970.991388472306,2623.7386017110175,31298.492698909435,0.011507979,1.5529058e-05,17.3052,26.343048,1.9857286,0.027105551,0.00018473002,1.3014302e-09,3.7668471,0.19524038,1.1164021,0.016494816,0.0009275455,4.2047596e-08
Defect-free,0,0.15242794,0.00051861914,0.044006348,2.1431479e-05,0.36882071659482757,0.0009299027650449846,10049.075633081897,39689.78124339572,0.004442769,3.1469822e-06,8236.320807970465,11171.54821871284,2577.2526774416283,9507.507752400566,0.010775199,5.500127e-06,18.123451,44.34243,1.9886466,0.021147609,0.00019253163,1.6450153e-09,3.8034778,0.25641462,1.0837303,0.015803562,0.0009391861,4.569421e-08
Defect-free,0,0.14746726,0.0007632284,0.044183873,2.2330933e-05,0.3668226921695402,0.000907285286863944,9896.858162715518,45380.368442512714,0.004004169,1.3339479e-06,8258.28610502943,6719.535051851496,2468.55833944164,11273.54853394319,0.008925015,4.429474e-06,18.691685,22.108587,2.1109192,0.02073031,0.00020416807,1.723926e-09,3.9251328,0.1672808,0.9728453,0.020243956,0.0010481245,5.717156e-08
Defect-free,0,0.107329965,0.0020423909,0.029110007,6.195515e-05,0.3779353651889535,0.0007235864937917938,10275.093681867733,205681.37430674062,0.004551242,2.741558e-06,8372.036370497906,18021.3583082037,2696.7292502904293,40205.23378533378,0.015428254,5.3015603e-05,15.467922,41.110924,1.8786477,0.049620684,0.00017835757,5.5148863e-09,3.5098507,0.3720793,1.323231,0.053402424,0.00088261574,6.4022935e-08
Defect-free,0,0.10450552,0.00043947034,0.028855773,4.2134445e-05,0.37575767780172414,0.0009515847755338386,10416.872642780172,188892.7972047422,0.0052639577,1.6465298e-06,8397.375094832692,13787.966987236941,2780.693077315138,51857.57146985573,0.01763059,7.256713e-05,15.14428,19.935785,1.8445315,0.051194683,0.00017304467,2.6544182e-09,3.4911191,0.2614128,1.3516567,0.06930135,0.0008573482,5.8385115e-08
Defect-free,0,0.15057337,0.0005715675,0.042083755,2.7377393e-05,0.36865795617816094,0.0008478575424373758,9929.776737607759,39995.46989391022,0.004744801,2.2987813e-06,8220.53363242114,9344.599639491507,2519.628115662034,11315.115910623897,0.009176816,5.077139e-06,20.272238,26.312168,2.070644,0.017698944,0.00020857793,1.8923827e-09,4.0288105,0.18323177,1.0244665,0.019132104,0.0010142315,5.993337e-08
