Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,BER mean,BER var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,S-variance mean,S-variance var,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.3745531,0.019395694,0.0989151,0.00045802846,0.36377514367816094,0.0008867005877268646,9971.605603448275,87898.78049730265,0.032735933,7.553168e-05,7881.897950166281,24902.093560124256,2841.469387317143,58912.03873933407,0.0136931,7.040761e-05,23.138842,127.67959,1.9862001,0.056552134,0.00021716385,5.5425393e-09,4.103357,0.5903705,1.2257514,0.043697976,0.0009429382,7.848472e-08
Defect-free,0,0.49252355,0.0048442245,0.14768031,0.00017855222,0.3648920168821839,0.0009408551519905218,9713.702182112069,8986.143640615708,0.027294653,4.009209e-05,7896.296285758646,6617.097972229245,2601.3945172165486,9507.606862934597,0.006467332,1.7245891e-06,30.090195,149.36609,2.2401001,0.021662459,0.00025994843,3.6037542e-09,4.734414,0.56471336,0.9397626,0.009625824,0.0011527952,9.4097516e-08
Defect-free,0,0.5243327,0.019302225,0.15285428,0.00019493498,0.3620184536637931,0.0008478468956571226,9872.849878771553,207630.83761852508,0.0250583,1.1336745e-05,7917.175344664501,51827.958070031236,2709.5669599691255,58670.030805081136,0.009852646,0.00012984907,30.25174,103.992325,2.1698585,0.031728186,0.00025031794,2.9894212e-09,4.734191,0.475859,0.99095005,0.008693459,0.0010540672,9.304733e-08
Defect-free,0,0.5148635,0.009050246,0.14635427,0.0002124438,0.36651185501453487,0.0007466669337951925,9768.562636264534,31225.722770938493,0.024701126,1.9514771e-05,7893.977774946003,29122.873522395592,2671.569533095713,14449.927625526556,0.008107687,8.003845e-06,23.118256,44.392582,2.1265025,0.012742049,0.00023092738,2.347467e-09,4.219604,0.23065516,1.0475703,0.009073057,0.0010188225,6.337633e-08
Defect-free,0,0.4626356,0.0102856355,0.13780625,0.00021474207,0.3664242097701149,0.0009706415042078374,10051.303205818966,125741.4426644832,0.021715563,4.0440795e-05,7970.391742178986,17447.661284743837,2828.9187268852706,39694.31686114974,0.013665587,3.8017875e-05,21.140863,35.129898,1.9875857,0.03464642,0.00020585614,1.2874984e-09,4.0223575,0.22272949,1.2239451,0.024905317,0.0009220701,5.505224e-08
Defect-free,0,0.50582325,0.013901138,0.1435311,0.00012707702,0.36352819683908044,0.0008547490961974703,9957.250134698275,120487.76357267471,0.01838375,9.906185e-06,8052.118615882009,35057.568361598394,2678.260073845435,53389.319006257574,0.0108509455,0.00013199287,29.037075,96.148445,2.1563427,0.024853496,0.0002482379,2.6565654e-09,4.6355953,0.42654863,1.0325066,0.016370663,0.001074135,1.1110814e-07
Defect-free,0,0.4595309,0.003447546,0.14059313,0.0002186092,0.366839529454023,0.0009234193168616955,9830.525996767241,18172.363259704445,0.018559365,1.1422762e-05,8085.703925656257,4144.498299770954,2532.1520591222256,5733.044226290002,0.00726174,1.4285828e-06,29.063555,80.213394,2.2605743,0.014691373,0.00025844236,2.9193665e-09,4.700133,0.3657004,0.92492545,0.006703096,0.0011542566,1.0065633e-07
Defect-free,0,0.31486368,0.008495327,0.090813994,0.00053788733,0.3690441042877907,0.0006688019273860059,10237.03499727471,76866.92968228497,0.02391679,5.7538662e-05,8105.378044445611,17547.937647015475,2798.651683830425,38745.659062898245,0.0140275,3.987839e-05,24.743044,89.16576,2.0124967,0.034885596,0.0002295212,6.468233e-09,4.2421246,0.4582912,1.2396924,0.03110713,0.0009479142,6.658364e-08
Defect-free,0,0.33471924,0.025268456,0.08972682,0.00036805778,0.3712452855603448,0.0009389050272405974,10475.284550107759,224973.12448254385,0.027090898,6.785872e-05,8235.539628975597,63644.719748054296,3003.149901203785,77518.50461912698,0.023264531,0.00021427307,21.517567,64.07987,1.8784715,0.05885621,0.00020129596,3.3121066e-09,3.9681838,0.4101157,1.3435619,0.04644716,0.0008423159,6.3333296e-08
Defect-free,0,0.45208776,0.004222615,0.1318098,0.00015141706,0.3676533315373563,0.000965885228376153,9897.600686961207,27703.2330486919,0.022997957,1.0843026e-05,8084.664444928776,5012.7435639117575,2676.161723358803,10942.55093626038,0.00983319,4.693751e-06,26.678055,56.044693,2.1714954,0.017964246,0.00024206545,2.1929072e-09,4.525706,0.2885732,0.97842866,0.012485647,0.0010636976,7.7224776e-08
Defect-free,0,0.4367511,0.0045439084,0.13097294,7.854893e-05,0.3641960757902299,0.000920245316372253,10075.558997844828,35427.53804736414,0.02210042,1.0970268e-05,8041.237746493914,7076.852404956082,2782.602942722762,12303.878859799308,0.012354064,7.5994685e-06,27.716635,107.71848,2.0733807,0.018888736,0.00023839128,2.4099354e-09,4.504405,0.4766989,1.0766717,0.012181539,0.0009972345,8.658908e-08
Defect-free,0,0.4679608,0.0066191284,0.13136324,9.338241e-05,0.36618254905523256,0.0006850173564908827,10020.951807776162,59912.120554497465,0.019511014,9.131427e-06,8046.610904595906,16151.556421691514,2773.2255380376637,14427.673609471538,0.0124534145,1.2229735e-05,20.631584,60.8572,2.0205078,0.013489709,0.00020727428,1.8774586e-09,3.993,0.28853434,1.1933639,0.011639567,0.00092360284,3.653537e-08
Defect-free,0,0.45339614,0.0055938098,0.12722842,9.93219e-05,0.3657451059626437,0.0009321120034468697,10052.788254310344,77871.70267842188,0.02121925,3.0455112e-05,8013.11989408679,27521.71361072817,2834.2379085554203,18746.775770106924,0.012871033,1.2374474e-05,25.560232,123.96558,2.0258582,0.01693062,0.00022777065,2.452509e-09,4.3058357,0.5060443,1.2215867,0.011492104,0.0009710102,7.536656e-08
Defect-free,0,0.43976602,0.00298505,0.13168317,9.615581e-05,0.36062095905172414,0.0009181404038171091,9870.622306034482,16909.421933250112,0.018084705,9.54788e-06,8006.354376468455,11217.936265388877,2683.795699140649,9178.239057930352,0.009788475,3.153542e-06,29.090076,114.42112,2.148779,0.013172653,0.000249706,2.6221905e-09,4.6159883,0.4178722,1.0512083,0.013344807,0.0010397184,6.792523e-08
Defect-free,0,0.43462083,0.0028068954,0.13414535,0.00012665144,0.3674400592672414,0.00088218087201264,9846.861530172413,26487.33959470153,0.017189125,9.509267e-06,8105.8205665225,4861.903149386378,2587.9235983786334,5851.412935716251,0.008643336,2.4353003e-06,30.178984,122.70326,2.2378283,0.017974494,0.00026030163,2.8935632e-09,4.7388644,0.48349318,0.95874363,0.008258679,0.0010995824,9.049983e-08
Defect-free,0,0.29168168,0.004891688,0.08661309,0.00042795614,0.3693506994912791,0.0007225499080928227,10111.591569767443,81968.33728518983,0.024294795,0.0001363915,8098.767320377281,31360.9436650535,2817.1258574251165,38490.06550114097,0.013980258,3.358411e-05,24.095575,119.9087,2.024108,0.036034543,0.00022702619,6.9516486e-09,4.2017703,0.57248634,1.287743,0.036519643,0.00093585864,6.3239405e-08
Defect-free,0,0.2765247,0.002684271,0.083692476,0.0002822661,0.3667609554597701,0.0009146219264375817,10335.442483836207,109172.13764258714,0.026910385,5.4973392e-05,8156.0539640911265,20383.66175233997,2981.8153348709297,53860.05046545075,0.019558376,7.342081e-05,27.327833,178.54433,1.9567603,0.05011983,0.0002278953,4.7789657e-09,4.383783,0.7788592,1.27725,0.048210904,0.0008989742,7.04624e-08
Defect-free,0,0.4200166,0.0031842126,0.121492684,7.8433935e-05,0.363629220545977,0.000859660159834374,9838.941271551725,20660.019516236152,0.02289138,1.370555e-05,8030.752419961307,3360.210917910439,2674.3433341829755,12707.70432364366,0.009264074,3.8667e-06,28.81898,130.89539,2.1975622,0.021311115,0.00024789883,3.29546e-09,4.6528397,0.5421172,0.9788971,0.012226401,0.0011452829,1.3665662e-07
Defect-free,0,0.41323045,0.0032988307,0.12466717,8.643608e-05,0.3649593660201149,0.0008581408201931553,9911.956155711207,21684.290906336868,0.021059241,7.981972e-06,8016.459787562984,4695.668768125902,2715.2923094508806,9273.2170984783,0.010356474,5.5871906e-06,28.330036,97.726944,2.118938,0.023525685,0.00024498822,2.9193665e-09,4.5759006,0.5044952,1.0679483,0.01592435,0.0010572397,7.8275114e-08
Defect-free,0,0.45424458,0.0030412674,0.13510816,0.00015359074,0.3672272438226744,0.0007298891772573996,9955.350654069767,44151.30323948507,0.021861212,9.207361e-06,8037.131048514565,18415.190204686587,2730.6431245212093,12605.289488159642,0.010311006,6.3055113e-06,25.544987,120.04248,2.0954142,0.0142278215,0.00023559983,2.418101e-09,4.3335037,0.4399167,1.1328144,0.008051897,0.0009998636,5.043075e-08
Defect-free,0,0.41420773,0.0028492163,0.121097885,6.207539e-05,0.36412311422413796,0.0008613799613381113,9811.962890625,14258.568369109054,0.022249764,2.0370724e-05,7928.666929658638,11686.638530393062,2782.4115547808515,14314.76274640827,0.010715459,9.554164e-06,27.905172,138.59357,2.106838,0.024604386,0.00024094679,2.9603608e-09,4.49479,0.63111234,1.1832763,0.018488167,0.0009989984,6.1225784e-08
Defect-free,0,0.41313118,0.0036266963,0.12370239,0.00010900752,0.3643812859195402,0.0009212177013024768,9843.148908943966,11687.10808975093,0.018793596,9.440359e-06,8010.320405791153,8685.681767634065,2673.3662770996884,6181.632005282644,0.009085319,3.221287e-06,29.277576,101.6548,2.1917257,0.021856498,0.00025279282,2.66046e-09,4.6803584,0.47694632,1.0516762,0.009935818,0.0010744943,7.0922134e-08
Defect-free,0,0.38155708,0.0027956222,0.120913625,0.00010484944,0.3632475754310345,0.0008531646788994375,9754.293507543103,4268.981823598019,0.018963195,9.037715e-06,8029.217745250105,3626.3233510065006,2588.469615169555,5410.920638647719,0.007871073,2.1288627e-06,32.442406,128.493,2.3006675,0.019220395,0.00027404007,3.6765389e-09,4.912666,0.49901322,0.9252893,0.009439384,0.0011911537,9.907485e-08
Defect-free,0,0.27182007,0.005663597,0.07806891,0.0002807955,0.3687034429505814,0.0006521248765866004,9979.888490188954,58959.43483189675,0.027222848,9.3063114e-05,8041.929344738953,14127.874138244277,2850.370238894965,26901.98022026806,0.013276597,1.8566072e-05,24.898706,82.910835,2.0427575,0.028798996,0.00023237593,5.062292e-09,4.273797,0.42181304,1.2899084,0.03295487,0.0009516691,6.68586e-08
Defect-free,0,0.2683179,0.003488822,0.07618955,0.00023202928,0.3675972072557471,0.0008816876551925089,10064.173626077587,96149.31104866415,0.029082747,3.0335319e-05,8036.502157505584,5497.033633960782,2921.2308244443357,36588.73543899795,0.015395382,3.7730657e-05,25.113894,69.52101,2.0060103,0.040412024,0.00022887734,4.4420285e-09,4.2841454,0.39806852,1.3191695,0.051707152,0.0009563507,7.5459084e-08
Defect-free,0,0.38902792,0.005067977,0.118690535,0.00016858516,0.36169854525862066,0.000849213904442411,9711.474609375,5265.686100926892,0.026676899,2.814721e-05,7903.0106060295,5391.75410292475,2672.5196333490126,7465.994710627853,0.007567576,1.9477538e-06,35.055172,170.17447,2.306903,0.021256687,0.00028439812,4.3416435e-09,5.089145,0.62111026,0.9437144,0.01256322,0.0011964315,9.084313e-08
Defect-free,0,0.43479866,0.017691074,0.122562066,7.2872026e-05,0.3650211027298851,0.0009577997862576085,9899.580751616379,93849.23367948225,0.01977775,9.881417e-06,8011.89323379758,38508.04863588474,2723.0911632260663,39836.261825232286,0.010997143,8.77076e-05,32.157204,188.69661,2.1446643,0.029599166,0.00025666275,3.510999e-09,4.803036,0.7365274,1.0771272,0.016887855,0.0010374188,8.7346244e-08
Defect-free,0,0.43689108,0.0015981239,0.12807497,5.881578e-05,0.3658873092296512,0.0006795240583259908,9813.632131177326,10774.451716646365,0.019375063,9.655707e-06,7975.272562214254,16347.675913252224,2678.537984669791,9772.380549294514,0.009018516,5.2622263e-06,25.863607,139.69147,2.1279,0.021873308,0.00023714882,3.4780818e-09,4.3477693,0.577216,1.2035958,0.014744303,0.0010064903,7.2930675e-08
Defect-free,0,0.40779272,0.0018638306,0.11705362,5.5786175e-05,0.3648471174568966,0.0008664193533263506,9803.052599676725,5769.000319890261,0.021778688,2.4867999e-05,7915.451540959995,12622.00697390451,2783.107584535889,10447.35836150206,0.010319475,5.6034055e-06,27.765804,170.28339,2.0987732,0.019477,0.00023944864,3.5488144e-09,4.4607525,0.66121614,1.2561388,0.015486574,0.00097267167,6.466535e-08
Defect-free,0,0.39549658,0.0023640334,0.11627353,9.6238306e-05,0.3601214529454023,0.0008557519094996603,9834.23861799569,12824.343381965624,0.020440673,1.6993023e-05,7971.243564189937,4693.993831280632,2728.1463018521404,14656.164160900564,0.009842804,8.215623e-06,37.091843,383.7524,2.197672,0.030518496,0.00027720782,6.2244445e-09,5.0680623,1.2256235,1.0565381,0.016681422,0.0010726736,9.244534e-08
Defect-free,0,0.383781,0.004954083,0.11560815,0.00013226991,0.36346084770114945,0.0008691267854456447,9759.243669181034,16569.05998089367,0.020529926,4.714802e-05,7989.117586174659,9648.662017410803,2637.3296899932393,26408.358150562417,0.008627932,7.1387703e-06,31.975885,157.65431,2.2775319,0.024946213,0.0002675809,4.2930877e-09,4.8763313,0.5705466,0.9627028,0.011535048,0.0011691982,1.3112273e-07
Defect-free,0,0.25729582,0.0041834987,0.07476876,0.0002523522,0.3669092932412791,0.0006345457293137528,9929.06011537064,29330.695702167,0.026724702,7.069729e-05,7992.759263635506,13439.35979253623,2880.1301797372453,33400.68273515448,0.013706872,2.4532077e-05,27.661394,154.62932,2.0556774,0.037516467,0.00024043999,6.3617263e-09,4.4516883,0.66605866,1.306214,0.053348146,0.000971835,6.289147e-08
Defect-free,0,0.23965348,0.0030708539,0.070463605,0.00019735616,0.3627592941810345,0.0008851785391415576,10001.801589439656,73686.15731614664,0.032712236,5.923582e-05,7951.272113974035,7765.291803392193,2973.5786818425336,40823.137324065385,0.0147781,2.7972763e-05,28.566563,136.21535,2.0382037,0.04111612,0.00023855577,5.170881e-09,4.5279813,0.6102702,1.342613,0.06458579,0.0009524561,7.740725e-08
Defect-free,0,0.36722398,0.002286454,0.108118355,0.000111691974,0.36226540050287354,0.0008581107698133874,9683.258688038793,5077.127049567441,0.027367655,2.7900624e-05,7861.635326162609,8230.48345234557,2678.145377236857,8628.493809973226,0.0076053445,3.3071774e-06,35.287167,269.71875,2.2866142,0.024667745,0.00028261717,6.0130767e-09,5.035279,0.8553647,1.0139674,0.02028638,0.0011433414,7.6529595e-08
Defect-free,0,0.34626788,0.0023860587,0.103523925,0.000102941674,0.3617827316810345,0.0008966226309384327,9770.629040948275,3498.5729120007313,0.02511866,2.123572e-05,7829.764257126707,11420.27797894149,2738.9367476713046,10121.660097503556,0.008881648,4.826599e-06,28.316187,129.35318,2.127237,0.026077934,0.00024220087,3.8669583e-09,4.571611,0.6128934,1.1426322,0.019244194,0.0010073878,6.4685345e-08
Defect-free,0,0.38978967,0.0037498283,0.11276022,5.4653923e-05,0.36639262354651164,0.0006944359541584054,9731.00472383721,18985.25348800527,0.022852363,1.48942545e-05,7844.6244975056725,16250.448091205702,2679.740374598399,9475.739602219,0.0077800327,5.673323e-06,27.321913,118.35253,2.1640391,0.018621357,0.00024903996,3.3455771e-09,4.484477,0.48563147,1.2294744,0.008393503,0.0010632297,8.120392e-08
Defect-free,0,0.35992643,0.0011480598,0.10716744,6.0646264e-05,0.36488079202586204,0.0009110203537731193,9772.361597521553,5097.342932266797,0.023395069,1.9186047e-05,7875.107532232191,7482.062754640804,2777.4921925120775,8367.615383443073,0.009265194,3.2647883e-06,28.38963,114.35628,2.1384485,0.02326231,0.00024931386,3.070932e-09,4.5420804,0.55240023,1.272453,0.027567673,0.0010051165,7.10337e-08
