Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,BER mean,BER var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,S-variance mean,S-variance var,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.13092673,0.0013139499,0.04399443,0.0001578021,0.16637482040229884,0.0031316607013248295,9249.624528556034,70327.38029602448,0.4984192,0.019067923,5161.91041234974,293170.9527406018,4284.256747281739,16636.152578842164,0.009513478,2.7115111e-05,156.21571,13754.485,2.7024586,0.5805278,0.0005603524,1.0670266e-07,9.93829,20.348087,1.0966147,0.12909973,0.0014177475,8.0389987e-07
Defect-free,0,0.14880231,0.0015231817,0.0526959,0.0004827554,0.22377312320402298,0.005214065837015926,9164.976764547413,44270.577742568654,0.40700793,0.02263934,5488.843405802947,257474.80204486445,4079.465878739851,10447.491075345575,0.008977364,1.5760623e-05,92.23079,14265.621,2.4762588,1.0930989,0.00043825124,1.9333879e-07,7.101564,22.541544,1.3775594,0.14931805,0.0012114429,1.0738091e-06
Defect-free,0,0.17567146,0.01176348,0.04545054,1.8649014e-05,0.24470748024425287,0.0006909692345718865,9351.84536637931,115228.08097630704,0.34292564,0.0030781676,5654.813610593467,131253.10155512244,4074.0247118613775,6277.658228529336,0.013367316,0.00016047069,46.135048,913.5595,2.025537,0.05351335,0.00027881953,9.323334e-09,5.3173,2.5249372,1.6031303,0.010674563,0.00090477016,6.844859e-08
Defect-free,0,0.15826203,0.0006138288,0.051929463,7.9378646e-05,0.19798669149709303,0.0020722662390342205,9221.969817405523,51181.78031359446,0.37510452,0.0031879842,5547.79635479085,78768.44402163,4140.407288280879,16307.568748383992,0.00874196,8.3963405e-06,122.511086,7860.327,2.4616437,0.30572003,0.0004732279,4.2050974e-08,8.64956,13.379308,1.4040519,0.048295453,0.0010144225,1.5355577e-07
Defect-free,0,0.16183436,0.002996803,0.057375085,0.00042858408,0.17746497844827586,0.0041041196550209765,9472.876818426725,30775.679657490447,0.34868774,0.009324516,5700.176086613016,165309.26118714275,4247.44999559572,33807.32070990904,0.012078826,4.1059306e-05,200.35818,16690.01,2.7168286,0.6806177,0.0006330007,1.5239459e-07,11.401139,23.881233,1.2957847,0.15182789,0.0014243049,2.501383e-06
Defect-free,0,0.1492285,0.004944115,0.04326159,3.5069654e-05,0.23913433908045978,0.0019132746685006404,9548.366783405172,53399.090205588334,0.2815911,0.003268566,6063.386872677342,91870.6958081015,4099.163215638679,15117.285485714727,0.014521724,7.528695e-05,92.28212,3503.0452,2.218002,0.11756869,0.00038869362,2.2057563e-08,7.5014086,7.0683017,1.5903864,0.028952545,0.00104631,2.9035786e-07
Defect-free,0,0.12936997,0.0002870501,0.04217773,2.3112761e-05,0.2411548132183908,0.001298917711670954,9472.134294181034,19361.792285433847,0.3058201,0.004873009,6046.7700435699035,99028.44536224744,4083.6809949322214,11491.932961266511,0.010845546,1.02156455e-05,97.644936,3898.1401,2.3549085,0.1169894,0.000413745,2.2348859e-08,7.77336,7.512204,1.4932942,0.011261729,0.0011568492,1.8902892e-07
Defect-free,0,0.101842836,0.00065161963,0.037197158,0.00020981916,0.1916049691133721,0.005462886998303972,9555.984851925872,57478.935138608,0.41736314,0.038052518,5682.371876857253,446196.1800524544,4337.034477997264,21454.1295557857,0.01330804,3.7141137e-05,148.16228,15757.169,2.8077054,2.048092,0.0005655641,1.991947e-07,9.636331,23.958132,1.2989898,0.19292235,0.001410463,1.6562999e-06
Defect-free,0,0.13047913,0.00823977,0.041512888,0.00013565076,0.15856232040229884,0.004492109998999601,9767.906452047413,210470.12771352436,0.44394696,0.026757944,5675.416463118301,501872.14549135213,4528.258480873448,38232.65312083256,0.016830893,0.00026747954,208.31104,14994.106,2.9176495,1.2802378,0.0006383902,1.0669604e-07,11.961325,20.955772,1.1368275,0.19808675,0.001079188,3.7239266e-07
Defect-free,0,0.13621959,0.0005130254,0.045303352,4.5066186e-05,0.20129534841954022,0.001816262970797246,9458.521349676725,18155.087869034087,0.3589955,0.004335369,5822.444512211673,75748.87957437793,4238.956916527846,12037.354929971507,0.011314678,1.7761502e-05,137.56064,4877.05,2.5010378,0.16117413,0.0004958258,2.83432e-08,9.413988,8.819533,1.3498669,0.03284298,0.0009631809,1.4167875e-07
Defect-free,0,0.13206254,0.0005973042,0.042176712,1.7601853e-05,0.2214776400862069,0.0009699062463833705,9553.811961206897,15525.185310599638,0.3248002,0.0027418232,5881.714265656088,62642.13575423241,4251.300441179068,6835.001357962599,0.015849547,1.679088e-05,102.42471,2708.7378,2.2060916,0.07253318,0.00040577576,1.3716573e-08,7.9305596,5.444257,1.5230197,0.012264466,0.000903713,9.663987e-08
Defect-free,0,0.13554914,0.00045684664,0.045971908,5.0387036e-05,0.20013285792151161,0.0024341693950898587,9550.726744186046,22878.751389847504,0.3128887,0.0033822572,5938.742060213683,77293.24068088656,4242.863523562512,16687.346765201873,0.014661104,3.8515358e-05,143.30916,8211.317,2.4108717,0.28505027,0.0004880241,3.931238e-08,9.456125,13.162778,1.4985851,0.053024378,0.0009794639,1.8148701e-07
Defect-free,0,0.14765808,0.0012445302,0.05728139,0.00027655117,0.14644508800287356,0.0024254580661664314,9475.599407327587,44213.72823000804,0.36273438,0.008920849,5697.616406805465,176349.25846832103,4298.191907353725,21603.32968775903,0.00930088,1.9835308e-05,254.59279,12077.308,3.0640104,0.55178756,0.0007498243,1.2359891e-07,13.665399,14.329144,1.1262237,0.09170747,0.001888094,2.6410655e-06
Defect-free,0,0.12095063,0.00026415696,0.041696332,3.4683006e-05,0.2195525772270115,0.003180163904231139,9515.695716594828,22977.49479658964,0.28475448,0.0037444588,6034.184195552642,122352.18463963883,4124.596375274751,9033.358317749482,0.01359994,2.1103022e-05,123.98433,8424.746,2.3542423,0.21416186,0.00045148417,3.8603396e-08,8.700187,12.934175,1.5386666,0.03825071,0.00096936885,1.2512628e-07
Defect-free,0,0.12163325,0.00031218707,0.039467692,2.1927228e-05,0.2488550646551724,0.0011738351163437005,9528.566136853447,16680.431116491945,0.2871509,0.0033858754,6146.429432340947,74176.10994888277,4129.114116588307,12122.469051931605,0.013739201,1.6165439e-05,81.42405,2673.664,2.270891,0.10101796,0.0003776871,1.8780057e-08,7.1478596,5.500072,1.5402573,0.016667863,0.0011629162,2.2938826e-07
